iata,icao,name,city,country,tz,lat,lon
PDX,KPDX,Portland International Airport,Portland,US,America/Los_Angeles,45.588699,-122.598
PGA,KPGA,Page Municipal Airport,Page,US,America/Phoenix,36.924234,-111.447716
PGD,KPGD,Punta Gorda Airport,Punta Gorda,US,America/New_York,26.9202,-81.990501
PGV,KPGV,Pitt-Greenville Airport,Greenville,US,America/New_York,35.635535,-77.384262
PHF,KPHF,Newport News Williamsburg International Airport,Newport News,US,America/New_York,37.131901,-76.492996
PHL,KPHL,Philadelphia International Airport,Philadelphia,US,America/New_York,39.871899,-75.241096
PHX,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US,America/Phoenix,33.435302,-112.005905
PIA,KPIA,General Wayne A. Downing Peoria International Airport,Peoria,US,America/Chicago,40.663841,-89.692631
PIB,KPIB,Hattiesburg Laurel Regional Airport,Moselle,US,America/Chicago,31.4671,-89.337097
PIE,KPIE,St. Petersburg Clearwater International Airport,Pinellas Park,US,America/New_York,27.9102,-82.687401
PIH,KPIH,Pocatello Regional Airport,Pocatello,US,America/Denver,42.9098014831543,-112.59600067138672
PIR,KPIR,Pierre Regional Airport,Pierre,US,America/Chicago,44.38270187,-100.2860031
PIT,KPIT,Pittsburgh International Airport,Pittsburgh,US,America/New_York,40.491501,-80.232903
PKB,KPKB,Mid Ohio Valley Regional Airport,Parkersburg (Williamstown),US,America/New_York,39.3451,-81.439201
PLN,KPLN,Pellston Regional Airport of Emmet County Airport,Pellston,US,America/Detroit,45.57089996,-84.79669952
PMD,KPMD,Palmdale Regional Airport / USAF Plant 42 Airport,Palmdale,US,America/Los_Angeles,34.629398,-118.084999
PWY,KPNA,Ralph Wenz Field,Pinedale,US,America/Denver,42.79550171,-109.8069992
PNC,KPNC,Ponca City Regional Airport,Ponca City,US,America/Chicago,36.73199844,-97.09980011
PNE,KPNE,Northeast Philadelphia Airport,Philadelphia,US,America/New_York,40.082406,-75.010614
PNS,KPNS,Pensacola International Airport,Pensacola,US,America/Chicago,30.472718,-87.186639
POB,KPOB,Pope Field,Fort Bragg,US,America/New_York,35.170898,-79.014503
POE,KPOE,Polk Army Air Field,Fort Polk,US,America/Chicago,31.0447998,-93.1917038
POU,KPOU,Dutchess County Airport,Poughkeepsie,US,America/New_York,41.6265983581543,-73.88420104980469
PQI,KPQI,Presque Isle International Airport,Presque Isle,US,America/New_York,46.688999,-68.0448
PRB,KPRB,Paso Robles Municipal Airport,Paso Robles,US,America/Los_Angeles,35.67290115,-120.6269989
PRC,KPRC,Prescott Regional Airport - Ernest A. Love Field,Prescott,US,America/Phoenix,34.653502,-112.419883
PRX,KPRX,Cox Field,Paris,US,America/Chicago,33.636600494385,-95.450798034668
PSC,KPSC,Tri Cities Airport,Pasco,US,America/Los_Angeles,46.264702,-119.119003
PSM,KPSM,Portsmouth International Airport at Pease,Portsmouth,US,America/New_York,43.0779,-70.823303
PSP,KPSP,Palm Springs International Airport,Palm Springs,US,America/Los_Angeles,33.8297,-116.507004
PTK,KPTK,Oakland County International Airport,Pontiac,US,America/New_York,42.665500640869,-83.420097351074
PUB,KPUB,Pueblo Memorial Airport,Pueblo,US,America/Denver,38.289101,-104.497002
PUW,KPUW,Pullman-Moscow Regional Airport,Pullman,US,America/Los_Angeles,46.741601,-117.11163
PVD,KPVD,Rhode Island T. F. Green International Airport,Providence/Warwick,US,America/New_York,41.725038,-71.425668
PVU,KPVU,Provo Municipal Airport,Provo,US,America/Denver,40.218894,-111.722445
PWK,KPWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,US,America/Chicago,42.114222,-87.901494
PWM,KPWM,Portland International Jetport,Portland,US,America/New_York,43.646198,-70.309303
PWT,KPWT,Bremerton National Airport,Bremerton,US,America/Los_Angeles,47.490200042725,-122.76499938965
RAL,KRAL,Riverside Municipal Airport,Riverside,US,America/Los_Angeles,33.9519,-117.445
RAP,KRAP,Rapid City Regional Airport,Rapid City,US,America/Denver,44.0452995300293,-103.05699920654297
RBL,KRBL,Red Bluff Municipal Airport,Red Bluff,US,America/Los_Angeles,40.1506996155,-122.251998901
RCA,KRCA,Ellsworth Air Force Base,Rapid City,US,America/Denver,44.14500046,-103.1039963
RDD,KRDD,Redding Municipal Airport,Redding,US,America/Los_Angeles,40.50899887,-122.2929993
RDG,KRDG,Reading Regional Airport (Carl A Spaatz Field),Reading,US,America/New_York,40.378502,-75.965202
RDM,KRDM,Roberts Field,Redmond,US,America/Los_Angeles,44.254101,-121.150002
RDR,KRDR,Grand Forks Air Force Base,Grand Forks,US,America/Chicago,47.961101532,-97.4011993408
RDU,KRDU,Raleigh-Durham International Airport,Raleigh/Durham,US,America/New_York,35.878659,-78.7873
RFD,KRFD,Chicago Rockford International Airport,Chicago/Rockford,US,America/Chicago,42.1954,-89.097198
RHI,KRHI,Rhinelander Oneida County Airport,Rhinelander,US,America/Chicago,45.63119888305664,-89.46749877929688
RIC,KRIC,Richmond International Airport,Richmond,US,America/New_York,37.505199,-77.319702
RIL,KRIL,Garfield County Regional Airport,Rifle,US,America/Denver,39.526299,-107.726997
RIV,KRIV,March Air Reserve Base,Riverside,US,America/Los_Angeles,33.880699,-117.259003
